interview__key,numero_ind,sexe,age,lien_cm,statut_matri,scolarise,niveau_etudes,occupation,age_enfant,poids_enfant,taille_enfant,pb_enfant,oedeme_enfant,enfant_cible,malnutrition,region,departement,milieu
99-76-96-32,6,2,35,11,1,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
99-76-96-32,7,2,15,11,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
99-76-96-32,8,1,3,11,4,NA,NA,NA,44,"13,60","100,80",NA,2,TRUE,0,LOUGA,KEBEMER,1
99-76-96-32,9,1,1,11,4,NA,NA,NA,13,"06,30","074,20",NA,2,TRUE,0,LOUGA,KEBEMER,1
57-23-62-30,1,1,72,1,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
57-23-62-30,2,2,40,2,1,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
57-23-62-30,3,1,32,3,1,1,3,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
57-23-62-30,4,2,18,9,1,1,2,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
57-23-62-30,6,1,18,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
45-63-27-95,1,1,37,1,2,1,1,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
45-63-27-95,2,2,24,2,2,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
45-63-27-95,4,2,12,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
45-63-27-95,5,1,90,4,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
45-63-27-95,6,2,70,4,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
45-63-27-95,7,1,25,5,4,1,4,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
45-63-27-95,8,1,23,5,4,1,3,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
45-63-27-95,11,2,19,2,2,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,BIRKELANE,1
28-70-08-37,1,1,44,1,1,1,1,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
28-70-08-37,2,2,36,2,1,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
28-70-08-37,3,2,16,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
28-70-08-37,4,1,11,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
28-70-08-37,5,1,6,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
51-68-43-10,1,1,40,1,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
51-68-43-10,2,2,27,2,1,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
51-68-43-10,3,1,3,3,4,NA,NA,NA,36,"14,50","102,50",NA,2,TRUE,0,KOLDA,KOLDA,1
51-68-43-10,4,2,2,3,4,NA,NA,NA,16,"08,80","078,05",NA,2,TRUE,0,KOLDA,KOLDA,1
51-68-43-10,5,2,68,4,3,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
25-11-52-28,1,1,43,1,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
25-11-52-28,2,2,36,2,1,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
25-11-52-28,3,1,21,3,4,1,1,1,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
25-11-52-28,4,2,16,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
25-11-52-28,5,2,11,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
25-11-52-28,6,1,8,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
25-11-52-28,7,2,6,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
97-21-19-20,1,1,61,1,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-21-19-20,2,2,49,2,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-21-19-20,3,1,32,3,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-21-19-20,4,1,21,3,4,1,3,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-21-19-20,5,1,18,3,4,1,2,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-21-19-20,6,1,15,9,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-21-19-20,7,2,25,9,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
01-78-24-09,1,1,50,1,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,SAINT LOUIS,PODOR,1
01-78-24-09,2,2,33,2,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,SAINT LOUIS,PODOR,1
01-78-24-09,3,2,15,3,4,1,2,0,NA,NA,NA,NA,NA,FALSE,NA,SAINT LOUIS,PODOR,1
01-78-24-09,4,2,11,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,SAINT LOUIS,PODOR,1
01-78-24-09,5,2,7,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,SAINT LOUIS,PODOR,1
01-78-24-09,6,1,5,3,4,NA,NA,NA,59,"15,10","103,70",NA,2,TRUE,0,SAINT LOUIS,PODOR,1
01-78-24-09,7,2,2,3,4,NA,NA,NA,24,"09,60","084,20",NA,2,TRUE,0,SAINT LOUIS,PODOR,1
01-78-24-09,8,1,8,11,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,SAINT LOUIS,PODOR,1
11-99-14-60,1,1,55,1,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
11-99-14-60,2,2,26,3,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
11-99-14-60,3,1,14,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
11-99-14-60,4,2,11,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
11-99-14-60,5,2,9,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
11-99-14-60,6,1,8,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
11-99-14-60,7,2,7,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
11-99-14-60,8,1,7,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
11-99-14-60,9,2,2,3,4,NA,NA,NA,24,"10,00","077,04",NA,2,TRUE,0,KOLDA,VELINGARA,1
11-99-14-60,10,2,0,3,4,NA,NA,NA,6,"06,20","064,09",NA,2,TRUE,0,KOLDA,VELINGARA,1
03-58-11-30,1,1,40,1,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
03-58-11-30,2,1,26,5,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
03-58-11-30,3,1,20,5,4,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
03-58-11-30,4,2,23,2,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
03-58-11-30,5,2,19,9,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
03-58-11-30,6,1,10,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
03-58-11-30,7,1,7,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,VELINGARA,1
03-58-11-30,8,1,5,3,4,NA,NA,NA,55,"16,00","101,07",NA,2,TRUE,0,KOLDA,VELINGARA,1
