interview__key,region,departement,milieu,materiau_toit,materiau_murs,nb_pieces,statut_occup,possede_bien_1,possede_bien_2,possede_bien_3,possede_bien_4,possede_bien_5,possede_bien_6,possede_bien_7,possede_bien_8,possede_bien_9,possede_bien_10,possede_bien_11,possede_bien_12,possede_bien_13,possede_bien_14,possede_bien_15,source_eau,type_toilettes,source_revenu_0,source_revenu_1,source_revenu_2,source_revenu_3,source_revenu_4,source_revenu_5,source_revenu_6,source_revenu_7,source_revenu_8,source_revenu_9,source_revenu_10,source_revenu_11,source_revenu_12,source_revenu_13,source_revenu_14,choc_subi
67-85-39-86,SAINT LOUIS,PODOR,1,3,3,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83-82-70-13,SEDHIOU,BOUNKILING,1,3,1,4,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
28-42-48-13,SEDHIOU,BOUNKILING,1,3,1,5,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
38-32-91-03,SAINT LOUIS,PODOR,1,3,5,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78-87-80-26,SAINT LOUIS,PODOR,1,4,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
90-96-06-73,SAINT LOUIS,PODOR,1,4,4,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
95-82-70-86,SAINT LOUIS,PODOR,1,4,4,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
98-21-26-24,KOLDA,MEDINA YORO,1,4,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
87-39-36-51,KOLDA,MEDINA YORO,1,4,3,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,5,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,1
95-64-02-62,SAINT LOUIS,PODOR,1,4,4,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2
27-11-99-28,KOLDA,MEDINA YORO,1,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
47-27-43-85,SAINT LOUIS,PODOR,1,4,4,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
75-93-62-21,KOLDA,MEDINA YORO,1,4,6,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,9,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,1
85-45-36-13,SAINT LOUIS,PODOR,1,4,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2
90-99-46-42,KOLDA,MEDINA YORO,1,4,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
70-97-98-00,KOLDA,MEDINA YORO,1,4,3,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,5,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,2
77-95-29-91,SAINT LOUIS,PODOR,1,4,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
87-92-38-90,KOLDA,MEDINA YORO,2,4,6,7,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,9,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
44-32-21-92,KOLDA,MEDINA YORO,1,4,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
94-29-86-55,KOLDA,KOLDA,1,4,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2
17-54-70-78,KOLDA,MEDINA YORO,1,4,3,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,5,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,2
16-63-11-24,KOLDA,MEDINA YORO,1,4,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,5,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,2
33-52-54-03,KOLDA,MEDINA YORO,1,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
99-85-06-87,KOLDA,MEDINA YORO,1,4,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2
20-14-26-48,KOLDA,MEDINA YORO,1,4,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,2
56-23-62-24,ZIGUINCHOR,BIGNONA,1,3,3,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,1
72-51-73-39,KOLDA,MEDINA YORO,1,3,6,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,9,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1
75-80-19-36,KOLDA,KOLDA,1,4,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12-97-53-18,TAMBACOUNDA,GOUDIRY,1,3,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
73-70-75-71,KOLDA,MEDINA YORO,1,3,4,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,5,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,2
37-80-89-19,KAFFRINE,BIRKELANE,1,3,1,5,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2
84-55-36-41,KOLDA,KOLDA,1,4,3,4,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,2
55-74-33-14,ZIGUINCHOR,BIGNONA,1,3,3,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68-72-69-62,KOLDA,KOLDA,1,4,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
24-34-23-11,KOLDA,VELINGARA,1,3,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19-77-69-22,KAFFRINE,MALEM HODDA,1,4,6,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
89-71-28-41,LOUGA,KEBEMER,1,3,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
64-13-55-22,KOLDA,KOLDA,1,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
42-90-69-84,KOLDA,VELINGARA,1,3,1,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31-91-72-52,KOLDA,MEDINA YORO,1,4,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
