interview__key,choc_id
87-16-81-87,6
87-16-81-87,10
83-14-94-88,6
83-14-94-88,13
11-58-11-47,1
11-58-11-47,6
11-58-11-47,10
26-84-82-81,13
33-04-93-25,1
33-04-93-25,6
33-04-93-25,10
07-86-05-45,6
07-86-05-45,13
77-26-30-41,9
38-75-79-36,8
64-23-79-00,10
29-98-40-15,2
47-14-88-32,1
39-65-69-42,13
15-43-25-77,6
15-43-25-77,13
18-07-77-15,1
18-07-77-15,8
18-07-77-15,11
15-56-80-54,4
13-29-73-71,6
13-29-73-71,10
13-29-73-71,13
83-53-89-65,10
77-13-60-19,8
97-34-25-11,8
18-24-76-11,6
18-24-76-11,13
25-25-39-15,1
47-30-41-84,6
47-30-41-84,13
17-60-24-90,13
63-59-14-82,11
43-01-86-57,6
43-01-86-57,13
37-23-68-00,1
72-14-22-47,4
90-55-91-14,6
90-55-91-14,13
87-06-38-48,1
89-65-60-72,4
56-19-49-24,11
63-62-05-45,6
75-68-33-08,10
72-19-74-24,4
72-19-74-24,10
93-21-31-47,4
93-21-31-47,9
85-31-08-88,6
85-31-08-88,8
85-31-08-88,10
42-15-22-21,4
79-10-93-13,4
79-10-93-13,10
83-52-69-34,8
83-52-69-34,10
83-52-69-34,13
89-16-64-40,6
89-16-64-40,13
13-81-78-04,5
70-75-45-76,1
70-75-45-76,12
53-72-28-47,6
53-72-28-47,10
53-72-28-47,12
42-59-44-76,8
51-67-74-78,4
50-56-86-93,6
50-56-86-93,9
50-56-86-93,13
26-61-22-64,13
11-38-96-05,13
62-82-09-97,6
62-82-09-97,10
62-82-09-97,13
70-40-74-64,8
80-38-91-36,6
80-38-91-36,10
80-38-91-36,12
00-60-72-20,6
00-60-72-20,10
00-60-72-20,12
88-72-88-01,6
88-72-88-01,9
88-72-88-01,13
39-05-98-47,10
36-87-64-31,6
36-87-64-31,9
36-87-64-31,13
42-14-20-99,6
42-14-20-99,8
42-14-20-99,10
51-99-13-00,4
51-99-13-00,9
79-12-82-67,6
79-12-82-67,8
79-12-82-67,10
66-75-82-27,6
66-75-82-27,13
98-57-90-92,6
98-57-90-92,10
95-53-73-54,1
95-53-73-54,6
95-53-73-54,10
71-88-65-27,1
71-88-65-27,6
71-88-65-27,8
70-52-53-84,13
43-14-50-55,6
42-72-02-87,6
42-72-02-87,13
67-43-01-64,11
76-56-95-79,6
76-56-95-79,13
57-91-64-75,6
57-91-64-75,8
57-91-64-75,10
70-48-00-63,6
70-48-00-63,9
70-48-00-63,13
11-13-90-26,4
11-55-17-92,9
11-55-17-92,10
82-47-37-40,4
82-47-37-40,13
50-67-77-05,12
86-21-55-64,6
86-21-55-64,8
86-21-55-64,10
26-03-24-20,6
26-03-24-20,10
26-03-24-20,13
23-19-29-03,4
23-19-29-03,6
23-19-29-03,9
87-80-18-33,9
77-87-41-97,9
87-79-66-94,6
87-79-66-94,12
87-79-66-94,13
00-41-67-87,1
00-41-67-87,6
00-41-67-87,8
86-40-72-10,11
94-70-27-96,6
94-70-27-96,10
94-70-27-96,13
52-83-00-22,1
52-83-00-22,6
52-83-00-22,8
49-73-22-82,1
49-73-22-82,10
49-73-22-82,13
33-46-82-51,1
33-46-82-51,6
33-46-82-51,10
44-25-19-77,6
44-25-19-77,9
56-32-09-25,1
56-32-09-25,8
56-32-09-25,10
12-74-96-21,6
12-74-96-21,13
03-44-87-43,1
42-03-29-67,6
38-89-40-44,1
38-89-40-44,8
38-89-40-44,10
15-83-53-52,6
15-83-53-52,13
32-05-14-84,2
32-05-14-84,8
32-05-14-84,13
71-03-52-02,1
30-15-28-02,1
02-50-64-13,6
02-50-64-13,8
